Condition_name_long	Condition_short	sensitive	resistance	sensitive_label	resistance_label	fyeco_terms	chemicals_chebi	chemicals_amount	temperature
EMM_Glutamine	EMM-Glu	FYPO:0005242	FYPO:0005243	decreased cell population growth on glutamine nitrogen source	increased cell population growth on glutamine nitrogen source	FYECO:0000403	CHEBI:18050	20mM	32
EMM_Arginine	EMM-Arg	FYPO:0009009	FYPO:0009029	decreased cell population growth on arginine nitrogen source	increased cell population growth on arginine nitrogen source	FYECO:0000331	CHEBI:16467	20mM	32
YES_EtOH_10percent	YES-EtOH10	FYPO:0000842	FYPO:0001453	sensitive to ethanol during vegetative growth	resistance to ethanol	FYECO:0000137,FYECO:0000212	CHEBI:16236	10% (v/v)	32
EMM_phlox_Act_2	EMMphlox-Act2	FYPO:0000440	FYPO:0000441	sensitive to antimycin A	resistance to antimycin A	FYECO:0000126,FYECO:0000334,FYECO:0000143	CHEBI:2762	2ng/ml	32
EMM_phlox_Act_1	EMMphlox-Act1	FYPO:0000440	FYPO:0000441	sensitive to antimycin A	resistance to antimycin A	FYECO:0000126,FYECO:0000334,FYECO:0000143	CHEBI:2762	1ng/ml	32
EMM_phlox_Act_0.1	EMMphlox-Act0.1	FYPO:0000440	FYPO:0000441	sensitive to antimycin A	resistance to antimycin A	FYECO:0000126,FYECO:0000334,FYECO:0000143	CHEBI:2762	0.1ng/ml	32
EMM_phlox_EtOH_0.1	EMMphlox-EtOH0.1	FYPO:0000842	FYPO:0001453	sensitive to ethanol during vegetative growth	resistance to ethanol	FYECO:0000126,FYECO:0000334,FYECO:0000212	CHEBI:16236	0.1%	32
YES_phlox_Act_2	YESphlox-Act2	FYPO:0000440	FYPO:0000441	sensitive to antimycin A	resistance to antimycin A	FYECO:0000137,FYECO:0000334,FYECO:0000143	CHEBI:2762	2ng/ml	32
YES_phlox_Act_1	YESphlox-Act1	FYPO:0000440	FYPO:0000441	sensitive to antimycin A	resistance to antimycin A	FYECO:0000137,FYECO:0000334,FYECO:0000143	CHEBI:2762	1ng/ml	32
YES_phlox_Act_0.1	YESphlox-Act0.1	FYPO:0000440	FYPO:0000441	sensitive to antimycin A	resistance to antimycin A	FYECO:0000137,FYECO:0000334,FYECO:0000143	CHEBI:2762	0.1ng/ml	32
YES_phlox_EtOH_0.1	YESphlox-EtOH0.1	FYPO:0000842	FYPO:0001453	sensitive to ethanol during vegetative growth	resistance to ethanol	FYECO:0000137,FYECO:0000334,FYECO:0000212	CHEBI:16236	0.1%	32
YES_phlox_Rapa_1	Yesphlox-Rapa1	FYPO:0000111	FYPO:0000077	sensitive to rapamycin	resistance to rapamycin	FYECO:0000137,FYECO:0000334,FYECO:0000242	CHEBI:9168	1µg/ml	32
YES_phlox_Rapa_100	Yesphlox-Rapa100	FYPO:0000111	FYPO:0000077	sensitive to rapamycin	resistance to rapamycin	FYECO:0000137,FYECO:0000334,FYECO:0000242	CHEBI:9168	100ng/ml	32
YES_phlox_DMSO	Yesphlox-DMSO	FYPO:0004674	FYPO:0009047	sensitive to dimethyl sulfoxide	resistance to dimethyl sulfoxide	FYECO:0000137,FYECO:0000334,FYECO:0000371	CHEBI:28262	0.15%	32
YES_phlox_Caffeine10	Yesphlox-Caffeine10	FYPO:0000097	FYPO:0000073	sensitive to caffeine during vegetative growth	resistance to caffeine	FYECO:0000137,FYECO:0000334,FYECO:0000069	CHEBI:27732	10mM	32
YES_phlox_Torin5	Yesphlox-Torin5	FYPO:0002701	FYPO:0005193	sensitive to torin1	resistance to torin1	FYECO:0000137,FYECO:0000334,FYECO:0000390	CHEBI:84327	5µM	32
YES_phlox_Gal_2	Yesphlox-Gal2	FYPO:0009012	FYPO:0009011	decreased vegetative cell population viability on galactose carbon source	increased cell population viability on galactose carbon source	FYECO:0000334,FYECO:0000358	CHEBI:28260	2%	32
YES_phlox_Sorb1.2	Yesphlox-Sorb1.2	FYPO:0000112	FYPO:0009042	sensitive to sorbitol	resistance to sorbitol	FYECO:0000137,FYECO:0000334,FYECO:0000025	CHEBI:30911	1.2M	32
YES_phlox_25C_glucose_0.1_percent	YESphlox-Temp25Gluc0.1	FYPO:0004162	FYPO:0004163	loss of viability upon glucose starvation	increased viability upon glucose starvation	FYECO:0000137,FYECO:0000334,skip	CHEBI:17234	0.1%	25
YES_phlox_25C_glucose_0.5_percent	YESphlox-Temp25Gluc0.5	FYPO:0009007	FYPO:0009008	decreased vegetative cell population viability	increased vegetative cell population viability	FYECO:0000137,FYECO:0000334,skip	CHEBI:17234	0.5%	25
YES_phlox_25C_glucose_1_percent	YESphlox-Temp25Gluc1	FYPO:0009007	FYPO:0009008	decreased vegetative cell population viability	increased vegetative cell population viability	FYECO:0000137,FYECO:0000334,skip	CHEBI:17234	1%	25
YES_phlox_25C_glucose_3_percent	YESphlox-Temp25Gluc3	FYPO:0009007	FYPO:0009008	decreased vegetative cell population viability	increased vegetative cell population viability	FYECO:0000137,FYECO:0000334,skip	CHEBI:17234	3%	25
YESphlox_Xylose2Gluc0.1	YESphlox-Xylose2Gluc0.1	FYPO:0009014	FYPO:0009016	decreased vegetative cell population viability on xylose carbon source	increased cell population viability on xylose carbon source	FYECO:0000334,FYECO:0000414,FYECO:0000081	CHEBI:18222		32
